reviewText,overall
"Excellent game, literally twice as long as the original Mario Galaxy.",5.0
The control is a manufacture copy of the control provided with the console at purchase. It worded flawlessly with not issues. I did not experience or see any defects on the product.,5.0
"fun to play in bursts. Great for when you only have a few minutes to play.

It's not deep, but it's fun!",5.0
love this game!,5.0
"First of all, I'll simply say that I love this game.  It's not perfect...with the exception of maybe Chrono Trigger and Super Metroid and A Link To The Past, no game I've played is what I could call perfect; but it's a very good game.  However, I notice all these new Skyrim games coming out for PS4, and now Switch...I for one would like to see an updated Oblivion game, maybe with updated graphics, etc.  Personally, as nice as Skyrim was, I think Oblivion was a better, and more in depth game.  All the guild quests in Oblivion seemed to be a bit deeper, and the main story in Oblivion seemed to have a bit more depth.  Not knocking Skyrim...just saying that Oblivion was an AWESOME game, a game many feel was better than Skyrim.  With all these remakes for newer systems...I like to see them put out an updated Oblivion game.  Furthermore, I'd love to see a new Morrowind game...not the new Online game...but a remake of the old Xbox Morrowind.  Pretty sure I'm not the only one who'd love to see a remake of those classics.",5.0
"My favorite Wii game! So incredibly fun. The boxing workouts are sort of Guitar Hero-like in that the fists come down from the top of the screen and in keeping in rhythm with the music, you have to punch when the fist reaches the proper spot. Look for videos on You Tube if that does not make sense. There are other elements to this workout as well that are just so much fun. It's an oldie for a dated system now but still ranks as my favorite fun workout. I even bought an extra copy to have in case my disk ever breaks/malfunctions and I can't find a replacement.",5.0
"""Leisure Suit Larry: Magna Cum Laude"" is the first LSL game in about 8 years, and also the first to cross over from the personal computer to home video game platforms on the Playstation 2 & XBox. As a fan of old Sierra games (even though I was too young to have played the early LSL games), I was incredibly pleased to see the series resurrected and brought to new heights!

Important note: ""Magna Cum Laude: Uncut & Uncensored"" has now been released for the PC, and it features full frontal nudity and none of the pesky ""censorship bars"" that are present in this version.

Obviously, nudity is the main selling point of this game. Anyone who says otherwise is trying too hard to justify his or her purchase. The college co-eds are voluptuous, they are animated in a sexy, often provocative, ways, and the main quest of the game is to get Larry laid. Because of the time and attention put into creating realistic (though cute in an almost-anime way), this game is more titilating than any of the ""Dead or Alive"" series of fighting games, more fun than any of the WWE wrestling video games that feature the strip matches, and the females are more desirable than Lara Croft ever has been.

The women are mostly stereotypical ""college girls"" -- we have the head cheerleader Barbara Jo Bimbo (B.J. for short), the Italian castoff from ""The Sopranos"" Analisa, the Russian exchange student Zanna, the hot but nerdy college professor Beatrice, and so on. Chasing after each woman requires different approaches, and the result is never the same twice. And no, Larry *does not* get with all these babes. I hate to spoil it for you, but he only has actual intercourse a few times during the entire game. But every encounter is sexy, funny, and most importantly, packed full of eye candy!

The gameplay is fun. It is not very involving and has been criticized for being mostly a string of ""mini-games."" That is true; however, the variety of the games keeps it interesting as you progress through the storyline. The script is absolutely hilarious, and the comedy is equal to the nudity as a selling point for this game. If you are a guy, or even a gal who likes to laugh at guys, you will laugh at Larry and the things coming out of his mouth. He rambles on a lot, gets off-topic, tries horrible pickup lines, lies constantly, and even staggers around drunk and farts. If you've ever known a man who made you laugh simply because he was, to quote Steve Martin, ""a wild and crazy guy,"" then you will enjoy the story of Magna Cum Laude. And the voice acting is wonderful; there is not a bad actor or actress in this entire game.

Now a few words on the Mature Audiences rating: This game is about sex, (...) drinking, jokes, and other things guys find enjoyable. For some people, this is disturbing. Those people need to get a life. I can play Grand Theft Auto, in which my character is able to walk down any street and at any moment cut off the head of a pedestrian with a sword. Or gun down dozens of policemen, only to enter a cheat code and get away with it all at the last possible minute. Yet somehow, the ESRB (game ratings board) finds Larry's girlfriends more offensive when they drop their shorts. Give us a break! Violence is much more detrimental to society & to teenagers than sex is, and yet we still can't get over our fear of pixelated private parts. It's ridiculous!

All in all, I give ""LSL: Magna Cum Laude"" a totally positive recommendation to anyone old enough to purchase it. It was definitely one of the best games of 2004 simply because it is like nothing else on the market today: a fun, sexy romp through college life. 5 stars! 2 thumbs up! Just buy it!",5.0
"E3 2004 came and went and AstroBoy Omega Factor was there and waiting. It played like a classic space shooter with power ups and loads of enemies to blow away. The game looks very sweet on the GBA hardware and is being developed by Treasure, the same guys that did Ikaruga and Gunstar Heroes, and the coming soon: Guardian Heroes for GBA. The hype starts here for this soon to be classic.",5.0
"StarFox Assault is quite simply the most (as in #1) action packed game on Game Cube and I have played and beaten many action packed games on Game Cube like Resident Evil 4, TimeSplitters Future Perfect, and Medal of Honor European Assault.  All of the above games have also achieved greatness.  StarFox Assault has three levels of difficulty:  Bronze, Silver, or Gold.  The single-player game does not last only three hours like so many reviews may suggest.  The single-player game lasts more like 10 hours on one difficulty.  Those of you who have beaten the game on Bronze have not beaten the game on Silver or Gold.  And if you beat it on Gold, then you can choose the option of Gold Survival, in which you have no continues or ability to save the game.  Basically, you have to beat the whole game without losing Fox's last life.  The graphics, sound, and environments are nothing short of spectacular with absolutely no slowdown in framerate at all.  True, while the Landmaster missions are a bit slower than the Arwing missions, they often require more strategy than the Arwing missions.  The ground missions by foot are excellent because you have the most diversity in choice of weapons to use during these missions.  I especially like the sniper levels.  True, Fox can run quite fast and leap really high without a humanly sense of physics, but he is a Fox and he needs to jump that high to get the job done.  If that is the only gripe one can find with the game, then that is ridiculous because nearly every game lacks physics in some respect or another.  Some of those ground missions get really hectic on Gold and are a lot of fun.  Other complaints about StarFox Assault that critics have given are that your allies are useless, while this opinion is not true, your allies frequently do need your help.  It is an intentionally installed part of the game.  Appreciate its brilliance.  The intent is to give you an extra objective to pass in a given amount of time while you are being swarmed by attackers.  These events of your allies needing your help arrive at believable times when swarms of attackers are around.  It makes things much more challenging for the experienced gamer and those that enjoy challenges because you are being attacked while you are trying to save your allies.  Ultimately, you need to be able to eliminate attackers and save your allies at the same time, which is not an easy task.  It takes quick reflexes to do so.  The game also has pretty good multiplayer options, but they are somewhat of an afterthought after the single-player game is finished.  However, this game has much replayability in trying to beat your high scores and collect all the red flags during Arwing missions.  StarFox Assault is definitely a game to own if you own a Game Cube and is my favorite game on Game Cube.",5.0
The 1st Gears of War was great and all this one did was improve on it. Loved the survival mode. It got wicked hard and kept me and my friend playing for a long time. It kept us on the edge while trying to take out the massive enemies. The story line was excellent too. The story was deep and kept suprising moments all throughout the game. I Highly recommend it to anyone who loves shooters. One of my top XBOX 360 games. The only downfall is that they didn't bring back the creatures that attacked you in the night. The missions for them last time were innovative. I feel they could have done so much more with them. But the new weapons made up for it.,5.0
