reviewText,overall,sentimentScore,sentimentCat,reviewCat
"The game is great, 5 stars, but anyone paying $350-$400+ dollars for the Wizard's Edition is insane.  The only thing that is really nice to have while playing the game is the hardcover version of the Wizard's Companion.  But is that really worth an extra $300+ dollars!!!  Especially when you can download a pdf of the complete English Wizard's Guide for free, and then bring it to Kinko's and have them spiral bind it for $20.

As for the cute doll and artwork, understand this is not a collectable that will go up in value, a year from now you will be able to buy a Wizard's Edition for under $100.  So for now buy the regular game and either live with using the in game Wizard's Companion or get the pdf for free and view it on a tablet while playing or print it out for now (heck, an online binding service will make a hardcover version for you for less then $100) and then buy the full Wizard's Edition a year from now for a normal price.",1.0,0.6666666666666666,positive,negative
"We had this on pre-order for 2 years. Forza 5 was already out. Since then Forza 6 an 7 came out. What we got was nice visuals,and massive chaos in racing achievements in you as driver versus game challenges. Game is structured around expensive steering wheel controllers. When doing the challenges the car is controlled by the game to a release point. When the car is released so you can now control it,the car is pointed in a negative direction that cost you time in correcting,the screen is full of graphics that block your view of the track,and your supposed to beat a perfect challenge in a time based win time of bronze,silver,and gold. Only after much time with the PS4 controller will you finally achieve a gold. Most of all achievements are earned this way. ""NOT"" much racing happening. Your rank earns what tracks you race on. The game can't tell what cars you already have,so expect to get very dissatisfied with many repeats of awarded cars. Even pre-ordering bonus cars,are duplicated by regular(as if you didn't pre-order) cars. Forza never duplicates any cars in your garage! I know people who have 6 of the same car awarded by game play in their garage! The lack of intelligent programing is so obvious it will disappoint you. This is not Gran Turismo from PS3 or even PS2. Sony was all about shafting it's race car group of players!",1.0,0.13888888888888887,neutral,negative
"Despite my having a high-powered PC, the game installs but doesn't run. The menu on the upper left side is frozen and doesn't respond to any kind of cursor movement. I reinstalled it three times to no avail. Junk!",1.0,-0.5,negative,negative
"No Yao Ming, Michael Redd, Tayshaun Prince etc. Don't waste money buying this.",1.0,0.0,neutral,negative
"Love this game series. Love playing GTA Liberty City and GTA Vice City on PSP & PS2. I have played them both to completion on each system many times. Love them. Nothing better. However, this game is frustrating because it has no pop up/pull down or whatever you want to call it, map. No map! Just the radar circle thing at the bottom of the screen. Then you're given timed missions with (did I mention) NO MAP! Driving around blind, frustrated and running out of time - I turned the game off and havn't returned and I don't think I ever will. NO MAP!",1.0,-0.060606060606060635,neutral,negative
"Got these today expecting what the image showed-Pelican brand trigger attachments. I don't know what these are, they don't look like the image. These came in a generic ziplock bag, made of extremely cheap plastic, and they do not fit the controller. I'd send them back if it was more of an expense. Garbage can.",1.0,-0.6,negative,negative
One Word Review :BORING,1.0,-1.0,negative,negative
Wouldn't install not compatible.,1.0,-1.0,negative,negative
Cable stopped working after a few months. Only way for it to work now is to waggle the cable and its very annoying. Do not recommend,1.0,-0.3333333333333333,negative,negative
"I am a real big fan of all the Soulcalibur games until Soulcalibur ledgens was introduced. first of all let me make one thing clear this is the worst Soulcalibur game ever, if you are planning on buying this game please don't pleassssssssssssse don't. Don't be a victim like me who fell into that trap, because of the game name title soulcalibur I went and buy the game; that was the worst choise I ever made in my entire life. I think that soulcalibur should stay the way it once was as an head to head fighting game. I hope that this review some how reach Namco/Bandi message board, so these game develpers can see what crazy mistakes they have made. All other soulcalibur are great but i can't say the same for Soulcalibur ledgens. Oh yeah let me talk about the wii nunchuck & remote, it's a good innovation but not for a game like soulcalibur, what were the developers thinking; the Nintendo wii has a classic controler which would have work well with the versus mode. This game need to be taken off the shelves for further modifications. Namco/Bandi please keep fighting games where they belong and Adventure games where they belong, I think that this was a bad step for you. I know all the fans of soulcalibur would agree with me, and for all who were having thoughts about buying this",1.0,-0.03333333333333335,neutral,negative
"Was good for a week, then the home button malfunctions. Controller still works but when I plug it in I am asked if I want to shut down and when I turn the system off it turns back on. It is as if the home button is stuck in the down position. The button don't work either to do anything else, aside from annoy me. I opened the controller thinking it was jammed but it is fine. It is shorted somewhere I think.",1.0,0.16666666666666666,neutral,negative
"The PC port is so buggy you can't play it.  It stops at one point and that's it.  None of the posted fixes work.
Don't buy it.",1.0,-0.5,negative,negative
"How completely stupid. You can't choose which user to install games for and they don't really get ""installed"" because you have to keep the loader on your system or the CD in the drive. I tried installing many of the games (yes you have to choose one at a time and you get no idea of what the game is about until you install and launch it) only to find when I took the disk out of my drive and removed the shell application from my desktop that nothing was actually resident on my hard drive! What a waste of money, no matter how fun the games might be. Better to download them individually from game sites-- costs more initially but you actually get something useful for your money.",1.0,-0.2,neutral,negative
"Don't be fooled.  This game is simply a collection of past horror games.  EA thinks they made an original title when all they did was take pieces of different sci-fi/horror games from the past and put them all together into this title.  Doom 3 + Half Life 2 + Zerglings from Starcraft = Dead Space.

But if you don't really care about that or the fact that this game is more rent-ware from EA just like Spore or Crysis Warhead, enforced by the not-uninstallable and hated SecuROM software that limits the number of installs you can perform by phoning home to EA to irreversibly use up an activation, all to ""protect you from yourself"" then go ahead and buy this game.",1.0,-0.4,negative,negative
"The game has been done in superior fashion so many times previously, but I do have to ask.  Why is there an African on the cover of a game that covers World War I?",1.0,0.5,positive,negative
"POS for real...worked one day,mic was horrible...dont buy",1.0,0.0,neutral,negative
"I am not one to put a huge review so you will have to wait for those. I will just add some things I am thinking.

Glitchy Glitchy so much so that talking is garbled mixed in with someone else talking. So much so that an NPC ears pop out of his hood then go back in just to come back out again. Everyone walks like they have a stick up their behind.
The talking, when it does happen correctly does not flow.

AND the writing, I had to get up from my chair and stick my face to the screen to even read it. The combat is horrible because it is so far away that I am kinda guessing what I am doing. The graphics are horrible, nothing like the trailers...but, I am coming off from playing Destiny so my eyes might just be in shock that it looks like the took dragon age 2 and painted over the NPCs. I couldn't tell you about the story because I couldn't get passed all of this to even get to the meat of the story. I think I would rather watch the trailers then actually play the game. Hugely disappointed beyond words. I waited 4 years for this.

Btw, I have a 47"" tv. I feel sorry for you that have a smaller one. You will just have to guess what it is saying or wait until Cassandra is talking and poof, she just disappears and the camera is watching a tree that was behind her. I am not normally a huge graphics person per say but dang, at least have the game work enough for me to get to the story then maybe I can suffer everything else. And another thing, I will never understand why Bioware takes our favorites like Morrigan and does not put them in the game as a party member. Varric? I dunno maybe some like him. Bioware had a winner with Origins and then took the recipe and MESSED IT UP. Just garbage since.

I watched some gameplay on youtube for xbox one. It was much better. If the game does not play well on older gen then it should not be released for it. I wasted $70 and could have put that towards a new gen platform that actually plays the game as it was indented.

Update: I bought an Xbox One...game plays 100% better...do not buy this for the 360 unless you want to deal with glitches and terrible everything",1.0,-0.14814814814814814,neutral,negative
"Let's face it. Nintendo only made one good system. That was the Game Boy Advance Sp. I have to admit that the graphics on this are pretty good especially on Nintendogs. But the Psp has better graphics and better games too. Also, the Psp can do more than the Ds. I see on point in the touch screen. You have to be in the same room as the other person for the pictochat to work. And even if you didn't, talking on the phone is much better. Well, Psp rocks! Ds sucks!",1.0,0.2727272727272727,positive,negative
"It's amazing to me how ACCLAIM can make a game like Warzone on the N64 and PS1 and make it a decent wrestling game. The only thing some people complained about was the controls being that of a Mortal Kombat style game, which they ignored and kept anyway when they release the games follow up of WWF Attitude. That game looked so promising and the graphics looked awesome, but once the previews where over the the released game was playable, it was possibly the biggest let down of wrestling fan gamers lives. They then lost the rights to the WWE franchise and picked up ECW, in which they pretty much did not update a thing, they just made the ECW arena and wrestlers and added a barbwire match, and that was it. It's a no wonder ACCLAIM are not legendary amongst wrestling games. So here they are, some years after their WWF and ECW release, and a promising new game excited fans called Wrestling Legends. It's gonna feature Hulk Hogan and Bret Hart, the Road Warriors and so many huge name legends... but what do we get? It's a revamped version of Attitude/ECW! Just with some graphical enhancements, and worse controls!

I swear to you, if you have played Attitude, you will see how simmilar this game is in graphics and maneuverability. Everyone hated that your player wouldn't lock onto his target and start punching the air... well, here it is back again! This game may as well be called ACCLAMES ATTITDUE REVIVAL because it seems they are using the same pathetic coding they where using all those years back. I really don't get how other companies manage to make controls basic and smooth, but ACCLAIM always seem to stuff it up in just about every way possible. Moving around and connecting with hits have such bad targeting in this game, and moves, man, why is there so little amount of moves you can have with a wrestler? Seriously, you have about 10 to choose from in each match, and they decided to put an ""excitement"" meter in the game where the crowed react to seeing new moves you haven't done yet, and it drops when you repeat moves... ACCLAIM, why didn't you just give people the choice to be able to actually do a lot of moves, instead of use the same old c@ppy programming you used for ATTITUDE where you kept doing the same moves over and over again because others where useless or got blocked all the time, and you expect people to be forgiving and not notice that all you did was reduced the move abilities and added a meter to say, ""hey, try doing a different move that the controller is too stiff on to be able to execute""

Ah Acclame, you haven't done it again.

I don't particularly ever want to turn this game on ever again. So I can't tell you how many matches there are, or what options you can do, because after 5 matches fighting the same guys in career mode, and winning the belt, I still was going back and forth between Texas and somewhere else doing ugly looking shows against the Von Eric family all the time... which I learned my lesson with previous ACCLAIM wrestling games to not bother finishing it, as ACCLAIM have no imagination when it comes to these sort of things, and you just do the same thing over and over a million times until you are presented with something boring like unlocking 1 wrestler, and having to do it over and over again with other wrestlers just to unlock them all... no thanks ACCLAME, not doing that ever again to be rewarded with nothing in the end, especially when it's so boring after an hours play, and you expect people to play it for days to weeks doing the same no variety matches? Forget it.",1.0,-0.20370370370370366,negative,negative
